Code,Genus,Sum,StDv
HERI,Heriades,1,0.082
PEPO,Peponapis,1,0.082
BRAC,Brachynomada,2,0.115
CONA,Conanthalictus,2,0.115
TOWN,Townsendiella,2,0.115
OREO,Oreopasites,3,0.141
XERO,Xeromelecta,3,0.141
XYLO,Xylocopa,4,0.162
ATOP,Atoposmia,5,0.215
MACR,Macrotera,7,0.269
COEL,Coelioxys,8,0.28
EPEO,Epeolus,10,0.277
TRIE,Triepeolus,11,0.262
MELE,Melecta,21,0.593
DIOX,Dioxys,23,0.529
HABR,Habropoda,35,0.597
STEL,Stelis,38,0.649
BOMB,Bombus,43,0.925
CALL,Calliopsis,44,1.043
MICR,Micralictoides,44,1.154
DIAN,Dianthidium,46,0.885
ASHM,Ashmeadiella,51,0.914
COLL,Colletes,53,1.529
HYLA,Hylaeus,54,1.367
ANRU,Anthophorula,107,3.536
SPHE,Sphecodes,114,3.636
CHEL,Chelostoma,119,2.568
TRAC,Trachusa,130,3.264
ANTH,Anthidium,137,3.129
NOMA,Nomada,141,1.716
ANPH,Anthophora,165,1.74
PROT,Protosmia,192,3.6
MEGA,Megachile,211,2.78
DUFO,Dufourea,250,3.599
HOPL,Hoplitis,296,3.121
AGAP,Agapostemon,373,4.078
EUCE,Eucera,408,9.201
DIAD,Diadasia,424,5.039
PERD,Perdita,463,9.082
PANU,Panurginus,619,16.57
CERA,Ceratina,697,10.045
MELS,Melissodes,825,25.488
APIS,Apis,1040,10.663
ANDR,Andrena,1681,19.945
HALI,Halictus,2895,28.756
OSMI,Osmia,4727,38.278
HESP,Hesperapis,5470,73.758
LASI,Lasioglossum,11082,104.978
