Family,Genus,Subgenus,Species,1996,1997,1998,1999,2002,2011,2012,Prop. years present,New/ Absent in 2011-12,Num_years
Andrenidae,Ancylandrena,,atoposoma,S, , , , , , ,0.14,A,1
Andrenidae,Andrena,(Anchandrena),quercina, , ,R, , ,R,R,0.43, ,3
Andrenidae,,(Belandrena),nemophilae, , ,R, , ,S,R,0.43, ,3
Andrenidae,,,palpalis, ,R,R, , , , ,0.29,A,2
Andrenidae,,(Cremnandrena),anisochlora, , ,C, , ,C,R,0.43, ,3
Andrenidae,,(Dasyandrena),cristata, , ,R, , , , ,0.14,A,1
Andrenidae,,(Derandrena),arctostaphylae, , ,S, ,S, , ,0.29,A,2
Andrenidae,,,californiensis, , ,R, ,S,S,R,0.57, ,4
Andrenidae,,,n. sp.,S,S,R, , ,R,C,0.71, ,5
Andrenidae,,,vandykei, , ,C, ,S,S, ,0.43, ,3
Andrenidae,,,viridissima, , , , , ,R, ,0.14,N,1
Andrenidae,,(Diandrena),apasta, , , , ,S, , ,0.14,A,1
Andrenidae,,,chalybioides, , , , , , ,S,0.14,N,1
Andrenidae,,,cuneilabris, , , , , , ,S,0.14,N,1
Andrenidae,,,lewisorum,S,R,S,C, ,C,C,0.86, ,6
Andrenidae,,,nothocalaidis, , ,S, , , , ,0.14,A,1
Andrenidae,,,puthua, ,R,C, , ,C,R,0.57, ,4
Andrenidae,,,subchalybea, , ,R,R,R,C,C,0.71, ,5
Andrenidae,,(Erandrena),principalis, , ,R, , , , ,0.14,A,1
Andrenidae,,,astragali, ,S,R, , ,S,R,0.57, ,4
Andrenidae,,,auricoma,R,R,C,R, ,C, ,0.71, ,5
Andrenidae,,,caerulea, , ,C, , ,R,R,0.43, ,3
Andrenidae,,,chlorura, ,R,C, ,R,C,C,0.71, ,5
Andrenidae,,,dissimulans, ,R,C, , ,C,C,0.57, ,4
Andrenidae,,,misella, , ,S, , , , ,0.14,A,1
Andrenidae,,,nigrocaerulea,S,R,R, , ,S,R,0.71, ,5
Andrenidae,,,suavis, , ,R, , ,C,C,0.43, ,3
Andrenidae,,,subdepressa, , ,R, , ,R,S,0.43, ,3
Andrenidae,,(Genyandrena),mackieae, ,R,C, , ,R, ,0.43, ,3
Andrenidae,,(Hesperandrena),baeriae, ,S,S, , ,R,R,0.57, ,4
Andrenidae,,,compositarum, , , , , ,S,S,0.29,N,2
Andrenidae,,,escondida, , , , , , ,R,0.14,N,1
Andrenidae,,(Holandrena),cressonii ssp. infasciata, ,S, , ,S, , ,0.29,A,2
Andrenidae,,(Melandrena),cerasifolii,C,C,C,S,S,C,C,1, ,7
Andrenidae,,,aff. cerasifolii, ,C,C,C, ,C,C,0.71, ,5
Andrenidae,,,perimelas, , , , ,S, , ,0.14,A,1
Andrenidae,,,sola,R,C,C,C, ,C,C,0.86, ,6
Andrenidae,,(Micrandrena),annectens, , ,R, , , , ,0.14,A,1
Andrenidae,,,chlorogaster, ,R,C, ,R,C,C,0.71, ,5
Andrenidae,,,aff. ishii, , ,C, , , , ,0.14,A,1
Andrenidae,,,microchlora, ,R,C,S, ,R,R,0.71, ,5
Andrenidae,,,piperi, ,S,R, ,S,R,R,0.71, ,5
Andrenidae,,(Nemandrena),crudeni, , ,C, ,S,C,C,0.57, ,4
Andrenidae,,,subnigripes, , ,S, , , , ,0.14,A,1
Andrenidae,,(Oligandrena),macrocephala,R,C,C, ,C,C,C,0.86, ,6
Andrenidae,,(Parandrena),concinnula, , ,S, , ,R, ,0.29, ,2
Andrenidae,,(Pelicandrena),atypica,S,R,C,R,R,R,R,1, ,7
Andrenidae,,(Plastandrena),prunorum, , , , , , ,S,0.14,N,1
Andrenidae,,(Psammandrena),congrua, ,R,R, , ,R,R,0.57, ,4
Andrenidae,,(Ptilandrena),pallidiscopa, , ,R, , , ,R,0.29, ,2
Andrenidae,,(Scaphandrena),lomatii, , ,S, , , , ,0.14,A,1
Andrenidae,,,plana, , ,R, , , , ,0.14,A,1
Andrenidae,,,santaclarae, ,S,R, , ,R,R,0.57, ,4
Andrenidae,,(Scoliandrena),cryptanthae,R, , , , ,R, ,0.29, ,2
Andrenidae,,,osmioides, , ,R, , ,R,S,0.43, ,3
Andrenidae,,(Scrapteropsis),biareola, , ,R, , , , ,0.14,A,1
Andrenidae,,(Simandrena),angustitarsata,R,R,C,C, ,C,C,0.86, ,6
Andrenidae,,,hypoleuca, , , , , ,S,R,0.29,N,2
Andrenidae,,,orthocarpi, , ,R, , ,R,R,0.43, ,3
Andrenidae,,,pallidifovea,S,R,R,R, ,R,R,0.86, ,6
Andrenidae,,(Thysandrena),candida,C,C,C,C,R,C,C,1, ,7
Andrenidae,,,knuthiana, , , , ,S,C,C,0.43, ,3
Andrenidae,,,vierecki, ,S,S, , , , ,0.29,A,2
Andrenidae,,,w-scripta,R,R,C,C, , ,S,0.71, ,5
Andrenidae,,(Trachandrena),fuscicauda, , ,S,R, , , ,0.29,A,2
Andrenidae,,,semipunctata, ,R,S, , ,S, ,0.43, ,3
Andrenidae,,(Tylandrena),subaustralis, , , , , ,S, ,0.14,N,1
Andrenidae,,,subtilis, , ,S, , , , ,0.14,A,1
Andrenidae,,,waldmerei, , ,R, , , , ,0.14,A,1
Andrenidae,Calliopsis,(Micronomadopsis),fracta,R,S,R, , ,S, ,0.57, ,4
Andrenidae,,,helianthi, , , , ,R,S, ,0.29, ,2
Andrenidae,,,mellipes, ,S, , , ,R, ,0.29, ,2
Andrenidae,,,trifolii,R, , ,R, , , ,0.29,A,2
Andrenidae,,(Nomadopsis),anthidia,S,R,R, ,S, ,S,0.71, ,5
Andrenidae,,,obscurella,R,C,R,R,C,C,R,1, ,7
Andrenidae,,,zonalis,S,S, ,S, , , ,0.43,A,3
Andrenidae,,,smithi,C,C,C,C, , ,S,0.71, ,5
Andrenidae,Macrotera,(Macroteropsis),arcuata, , ,S, , ,S,R,0.43, ,3
Andrenidae,Panurginus,,gracilis, , ,C,R,C,C,C,0.71, ,5
Andrenidae,,,melanocephalus, ,R,R, , ,C,C,0.57, ,4
Andrenidae,,,nigrellus,C,C,C, ,R,C,C,0.86, ,6
Andrenidae,,,aff. occidentalis, , , , ,S, , ,0.14,A,1
Andrenidae,Perdita,(Hesperoperdita),trisignata ssp. ornata,R,C,C,C, ,S,S,0.86, ,6
Andrenidae,,(Perdita),claypolei ssp. limatula, ,C,C, , , , ,0.29,A,2
Andrenidae,,,hirticeps ssp. hirticeps, , , , ,S, ,R,0.29, ,2
Andrenidae,,,aff. holoxantha, , , , , ,S, ,0.14,N,1
Andrenidae,,,isocomae, ,S, , , , , ,0.14,A,1
Andrenidae,,,jucunda, ,R, ,S, , , ,0.29,A,2
Andrenidae,,,aff. linsleyi,R,R,R,S, ,R, ,0.71, ,5
Andrenidae,,,rhois ssp. reducta,C,C,C,S, , ,R,0.71, ,5
Andrenidae,,,salicis ssp. personata, , , , , ,R, ,0.14,N,1
Andrenidae,,(Pygoperdita),aureovittata ssp. stenozona, ,S, , , , , ,0.14,A,1
Andrenidae,,,californica, , ,R, , , , ,0.14,A,1
Andrenidae,,,distropica,R,C,C,C,C,C,C,1, ,7
Andrenidae,,,micheneri ssp. micheneri, , ,C,R,S,R, ,0.57, ,4
Andrenidae,,,montereyensis,C,C,C,C,S,C,C,1, ,7
Andrenidae,,,nitens,C,C,R, , ,C,R,0.71, ,5
,,,,,,,,,,,,,
Apidae,Anthophora,(Anthophoroides),californica,R,C,R,R,S,R,R,1, ,7
Apidae,,(Heliophila),columbariae, , ,R, , , , ,0.14,A,1
Apidae,,,curta,R,R,S,R, ,R,R,0.86, ,6
Apidae,,,estebana, ,S, , , , , ,0.14,A,1
Apidae,,,flavocincta, , , , ,S, , ,0.14,A,1
Apidae,,(Lophanthophora),pacifica, ,R,C, , ,S, ,0.43, ,3
Apidae,,(Melea),bomboides,S, , , , , , ,0.14,A,1
Apidae,,(Mystacanthophora),urbana,R,C,C,C,S,C,C,1, ,7
Apidae,,(Paramegilla),centriformis,R,C,R,C, ,R, ,0.71, ,5
Apidae,,(Pyganthophora),crotchii,R,C,R,R,S,C,C,1, ,7
Apidae,,,edwardsii,R,R,R, , ,C,C,0.71, ,5
Apidae,,,platti,C,C,C,R, ,C,C,0.86, ,6
Apidae,Anthophorula,(Anthophorisca),nitens, ,C,C, , ,C,C,0.57, ,4
Apidae,,(Anthophorula),albicans, ,C,C, ,R,S,C,0.71, ,5
Apidae,Apis,,mellifera,R,C,C,C,C,C,C,1, ,7
Apidae,Bombus,(Crotchiibombus),crotchii, ,C,C,S, , , ,0.43,A,3
Apidae,,(Fervidobombus),californicus,R,C,C,R,R,R,R,1, ,7
Apidae,,(Pyrobombus),caliginosus, ,C, , , ,S,S,0.43, ,3
Apidae,,,melanopygus,R,C,C,R,R,C,R,1, ,7
Apidae,,,vandykei, ,R,R, , ,R, ,0.43, ,3
Apidae,,,vosnesenskii,R,C,C,S,S,C,R,1, ,7
Apidae,Brachynomada,(Melanomada),melanantha, , , , , , ,R,0.14,N,1
Apidae,Centris,(Paracentris),aff. californica, ,C,C,R, , , ,0.43,A,3
Apidae,Ceratina,(Ceratina),arizonensis,C,C,C,C,C,C,C,1, ,7
Apidae,,(Euceratina),dallatorreana, , ,S, ,R, ,C,0.43, ,3
Apidae,,(Zadontomerus),acantha,S,C,R, ,R,C,C,0.86, ,6
Apidae,,,hurdi,S,R,R, ,R,C,C,0.86, ,6
Apidae,,,nanula,R,C,C,C,C,C,C,1, ,7
Apidae,,,aff. nanula,S,R,S, ,S,R,R,0.86, ,6
