floralRichness,beeRichness,beeAbundance,sqrtAbun
6,19,61,7.810249676
6,39,156,12.489996
7,27,172,13.11487705
5,30,184,13.56465997
3,17,146,12.08304597
1,18,144,12
5,23,64,8
7,27,86,9.273618495
4,45,142,11.91637529
3,28,143,11.95826074
5,26,210,14.49137675
3,25,241,15.5241747
1,28,166,12.88409873
5,39,299,17.29161647
5,41,221,14.86606875
4,25,201,14.17744688
7,39,331,18.1934054
5,21,339,18.41195264
2,10,34,5.830951895
5,31,96,9.797958971
5,20,135,11.61895004
2,23,274,16.55294536
2,12,55,7.416198487
9,38,200,14.14213562
6,23,185,13.60147051
6,23,131,11.44552314
5,38,169,13
4,35,251,15.84297952
1,13,84,9.16515139
1,7,44,6.633249581
3,35,358,18.92088793
4,41,609,24.67792536
6,35,690,26.26785107
4,14,90,9.486832981
4,22,148,12.16552506
7,21,227,15.06651917
4,33,323,17.97220076
2,12,36,6
8,35,355,18.84144368
4,23,262,16.18641406
5,31,234,15.29705854
6,34,205,14.31782106
4,41,302,17.3781472
2,17,65,8.062257748
2,15,74,8.602325267
1,15,41,6.403124237
5,63,371,19.26136028
11,48,434,20.83266666
10,28,170,13.03840481
7,26,368,19.18332609
8,36,224,14.96662955
4,36,289,17
2,35,276,16.61324773
4,36,150,12.24744871
6,35,241,15.5241747
8,38,205,14.31782106
5,24,166,12.88409873
5,29,181,13.45362405
3,27,109,10.44030651
4,22,61,7.810249676
1,15,23,4.795831523
8,56,246,15.68438714
10,42,291,17.05872211
7,31,135,11.61895004
10,35,288,16.97056275
13,33,214,14.62873884
3,43,146,12.08304597
2,28,254,15.93737745
11,42,185,13.60147051
7,37,203,14.24780685
9,47,212,14.56021978
13,47,221,14.86606875
7,40,176,13.26649916
4,22,70,8.366600265
6,23,56,7.483314774
4,22,91,9.539392014
5,31,629,25.07987241
7,36,355,18.84144368
5,36,311,17.63519209
2,30,182,13.49073756
1,14,75,8.660254038
5,57,255,15.96871942
6,45,148,12.16552506
5,48,213,14.59451952
3,30,371,19.26136028
5,32,608,24.65765601
2,29,564,23.74868417
2,29,520,22.8035085
2,19,195,13.96424004
2,39,94,9.695359715
3,23,227,15.06651917
7,32,1233,35.11409973
8,33,417,20.42057786
6,35,259,16.09347694
6,30,162,12.72792206
1,13,105,10.24695077
7,52,359,18.94729532
6,31,107,10.34408043
4,36,530,23.02172887
9,45,664,25.76819745
4,31,471,21.70253441
5,25,373,19.31320792
7,40,470,21.67948339
3,34,787,28.05352028
5,35,249,15.77973384
8,21,41,6.403124237
5,40,214,14.62873884
3,35,204,14.28285686
3,32,225,15
4,20,72,8.485281374
1,7,22,4.69041576
2,17,50,7.071067812
5,33,133,11.53256259
3,18,31,5.567764363
2,32,129,11.35781669
3,25,144,12
3,20,166,12.88409873
2,29,195,13.96424004
2,27,114,10.67707825
3,9,33,5.744562647
3,28,303,17.40689519
4,18,232,15.23154621
4,30,194,13.92838828
1,16,85,9.219544457
,5,12,3.464101615
1,18,93,9.643650761
2,27,128,11.3137085
4,29,107,10.34408043
3,24,224,14.96662955
4,17,213,14.59451952
2,22,183,13.52774926
1,20,277,16.64331698
,3,7,2.645751311
1,30,123,11.09053651
9,38,157,12.52996409
8,46,263,16.21727474
6,18,72,8.485281374
7,27,141,11.87434209
7,39,160,12.64911064
5,33,192,13.85640646
2,23,60,7.745966692
2,37,144,12
11,46,250,15.8113883
6,30,184,13.56465997
8,38,252,15.87450787
6,42,270,16.43167673
4,35,242,15.55634919
,20,40,6.32455532
3,21,87,9.327379053
